Panel ID,Row,Column,Width (in),Height (in),Area (sq ft),Width + bleed (in),Height + bleed (in),Artboard #,Left edge from wall left (in),Top edge from wall top (in),Check
O02,O,2,59,7.25,2.97,60,8.25,493,97.875,654.5,
O03,O,3,58.75,7.25,2.96,59.75,8.25,494,157.375,654.5,
O04,O,4,58.75,7.25,2.96,59.75,8.25,495,216.625,654.5,
O05,O,5,58.75,7.25,2.96,59.75,8.25,496,275.875,654.5,
O06,O,6,58.75,7.25,2.96,59.75,8.25,497,335.125,654.5,
O07,O,7,58.75,7.25,2.96,59.75,8.25,498,394.375,654.5,
O08,O,8,63.25,7.25,3.18,64.25,8.25,499,453.625,654.5,
O09,O,9,63.5,7.25,3.2,64.5,8.25,500,517.375,654.5,
O10,O,10,63.5,7.25,3.2,64.5,8.25,501,581.375,654.5,
O11,O,11,63.5,7.25,3.2,64.5,8.25,502,645.375,654.5,
O12,O,12,63.5,7.25,3.2,64.5,8.25,503,709.375,654.5,
O13,O,13,63.5,7.25,3.2,64.5,8.25,504,773.375,654.5,
O14,O,14,63.5,7.25,3.2,64.5,8.25,505,837.375,654.5,
O15,O,15,63.5,7.25,3.2,64.5,8.25,506,901.375,654.5,
O16,O,16,63.5,7.25,3.2,64.5,8.25,507,965.375,654.5,
O17,O,17,63.5,7.25,3.2,64.5,8.25,508,1029.375,654.5,
O18,O,18,63.5,7.25,3.2,64.5,8.25,509,1093.375,654.5,
O19,O,19,63.5,7.25,3.2,64.5,8.25,510,1157.375,654.5,
O20,O,20,63.5,7.25,3.2,64.5,8.25,511,1221.375,654.5,
O21,O,21,63.5,7.25,3.2,64.5,8.25,512,1285.375,654.5,
O22,O,22,63.5,7.25,3.2,64.5,8.25,513,1349.375,654.5,
O23,O,23,63.5,7.25,3.2,64.5,8.25,514,1413.375,654.5,
O24,O,24,63.5,7.25,3.2,64.5,8.25,515,1477.375,654.5,
O25,O,25,63.5,7.25,3.2,64.5,8.25,516,1541.375,654.5,
O26,O,26,63.5,7.25,3.2,64.5,8.25,517,1605.375,654.5,
O27,O,27,63.5,7.25,3.2,64.5,8.25,518,1669.375,654.5,
O28,O,28,63.5,7.25,3.2,64.5,8.25,519,1733.375,654.5,
O29,O,29,55.5,7.25,2.79,56.5,8.25,520,1797.375,654.5,
O30,O,30,55.25,7.25,2.78,56.25,8.25,521,1853.375,654.5,
O31,O,31,55.25,7.25,2.78,56.25,8.25,522,1909.125,654.5,
O32,O,32,55.25,7.25,2.78,56.25,8.25,523,1964.875,654.5,
O33,O,33,55.25,7.25,2.78,56.25,8.25,524,2020.625,654.5,
O34,O,34,55,7.25,2.77,56,8.25,525,2076.375,654.5,
O35,O,35,55,7.25,2.77,56,8.25,526,2131.875,654.5,
